"commune","type","infraction","code_reg","code_dep","lat","lng","ville_ref"
"Raissac","P",28.31,73,"09",42.9416681862,1.81553522822,"Foix"
"Raissac-sur-Lampy","P",24.24,91,"11",43.2772178927,2.16063217887,"Carcassonne"
"Ramatuelle","P",78.50999999999999,93,"83",43.2186126186,6.63754734174,"Gassin-Saint-Tropez"
"Rambures","P",21.8,22,"80",49.9406734794,1.69572636925,"Abbeville"
"Ramillies","P",16.839999999999996,31,"59",50.2072582763,3.24940380157,"Cambrai"
"Ramonchamp","P",19.52,41,"88",47.8957257819,6.74118658301,"Remiremont"
"Ramouzens","P",23.36,73,"32",43.8102320971,0.189111394698,"Condom"
"Rancennes","P",21.35,21,"08",50.1212664141,4.82244516309,"Revin"
"Rancogne","P",16.93,54,"16",45.7024273965,0.394415078695,"Angoulême"
"Randan","P",19.3,83,"63",46.0116125087,3.36364426205,"Riom"
"Rang","P",21.02,43,"25",47.4234030731,6.56255299785,"Montbéliard"
"Rangen","P",14.68,42,"67",48.6722666371,7.4769068152,"Saverne"
"Ransart","P",18.33,31,"62",50.2055666044,2.67670768859,"Arras"
"Rantzwiller","P",28.22,42,"68",47.6488310607,7.37119412138,"Mulhouse"
"Raon-aux-Bois","P",19.52,41,"88",48.0563851529,6.51474644165,"Remiremont"
"Raon-lès-Leau","P",21.240000000000002,41,"54",48.5138486149,7.09738712876,"Lunéville"
"Rapilly","P",16.68,25,"14",48.8569781675,-0.343804758393,"Falaise"
"Ratenelle","P",24.58,26,"71",46.5245517671,5.00102497581,"Mâcon"
"Raucourt","P",28.94,41,"54",48.9241901699,6.21845026045,"Nancy"
"Raucourt-et-Flaba","P",20.320000000000004,21,"08",49.5891690543,4.96192418756,"Sedan"
"Rauwiller","P",14.68,42,"67",48.8098418508,7.11166295825,"Saverne"
"Ravières","P",31.3,26,"89",47.743102178,4.25236559824,"Avallon"
"Ray-sur-Saône","P",20.28,43,"70",47.5911466767,5.81525402096,"Vesoul"
"Razac-d'Eymet","P",20.48,72,"24",44.6976329536,0.457312934463,"Bergerac"
"Razengues","P",18.650000000000002,73,"32",43.644588775,0.985675925252,"Auch"
"Razimet","P",24.39,72,"47",44.3521277171,0.230708031809,"Nérac"
"Réalmont","P",13.15,73,"81",43.7799765873,2.19017910647,"Albi"
"Réauville","P",35.68,82,"26",44.4518475355,4.83915693075,"Nyons"
"Rebergues","P",12.52,31,"62",50.7533359346,1.95267179122,"Saint-Omer"
"Rebeuville","P",28.84,41,"88",48.3370016504,5.71877822287,"Neufchâteau"
"Rebreuve-Ranchicourt","P",12.399999999999999,31,"62",50.4315349497,2.54883254933,"Béthune"
"Villers-devant-Mouzon","P",20.320000000000004,21,"08",49.6273486226,5.01783217122,"Sedan"
"Villers-en-Argonne","P",32.91,21,"51",49.0180251843,4.93994624635,"Châlons-en-Champagne"
"Villers-en-Prayères","P",24.39,22,"02",49.3787305029,3.67067176183,"Soissons"
"Villers-Hélon","P",24.39,22,"02",49.2649355463,3.26786134731,"Soissons"
"Villers-la-Montagne","P",16.240000000000002,41,"54",49.4699530186,5.83188690951,"Villerupt"
"Villers-le-Sec","P",21.080000000000002,41,"55",48.6244341706,5.29962310593,"Commercy"
"Villers-lès-Cagnicourt","P",18.33,31,"62",50.2253150593,3.01039978275,"Arras"
"Villers-lès-Luxeuil","P",24.41,43,"70",47.7687966014,6.27995216443,"Lure"
"Villers-les-Pots","P",24.919999999999998,26,"21",47.2102286765,5.34734391445,"Dijon"
"Villers-Pol","P",22.02,31,"59",50.2889516363,3.6151652439,"Avesnes-sur-Helpe"
