"Ville","CP","Adresse","Longitude","Latitude","Type","Effectif","superficie","population","noReg","noDept","gn2013","gd2013","pn2013"
"BETTON","35830","63 Avenue d'Armorique 35830 BETTON",-1.649721,48.185,"G",,2673.0,10.1,53,"35",878,555,2076
"BEAUZELLE","31700","50 Rue de la RÃ©publique 31700 BEAUZELLE",1.376147,43.665163,"G",,464.0,5.0,73,"31",1151,692,2792
"BRENOUILLE","60870","1 Rue de la Planchette 60870 BRENOUILLE",2.541462,49.30636,"G",,425.0,2.1,22,"60",1145,679,539
"LE TREPORT","76470","2 Rue Albert Edward Dixon 76470 LE TREPORT",1.375917,50.05254,"G",,690.0,5.4,23,"76",980,515,2859
"GRAVESON","13690","12 Avenue GÃ©nÃ©ral de gaulle 13690 GRAVESON",4.780804,43.849294,"G",,2381.0,3.9,93,"13",1113,590,7314
"PHALEMPIN","59133","18 Rue du Ponchelet 59133 PHALEMPIN",3.01384,50.520573,"G",,805.0,4.5,31,"59",1378,809,6854
"REICHSHOFFEN","67110","51 Route d'Oberbronn 67110 REICHSHOFFEN",7.651268,48.93338,"G",,1706.0,5.5,42,"67",950,619,1809
"WITTELSHEIM","68310","40 Rue Jean Mermoz 68310 WITTELSHEIM",7.23725,47.798103,"G",,2358.0,10.4,42,"68",857,480,986
"LAMBESC","13410","Quartier Bertoire 6 Avenue ClÃ©ment Fauchier 13410 LAMBESC",5.261141,43.648207,"G",,6516.0,9.0,93,"13",1113,590,7314
"VENELLES","13770","13 Rue de la Bergerie 13770 VENELLES",5.48722,43.600958,"G",,2052.0,8.1,93,"13",1113,590,7314
"MUNDOLSHEIM","67450","20 Rue du Haldenbourg 67450 MUNDOLSHEIM",7.707185,48.635321,"G",,431.0,5.0,42,"67",950,619,1809
"GEISPOLSHEIM","67118","2 Rue de SÃ©nÃ© 67118 GEISPOLSHEIM",7.654253,48.517368,"G",,2215.0,7.0,42,"67",950,619,1809
"VILLEFONTAINE","38090","6 Rue Montgolfier 38090 VILLEFONTAINE",5.141903,45.61815,"G",,1033.0,18.5,82,"38",1536,891,1124
"PACE","35740","21 bis Avenue Charles Le Goffic 35740 PACE",-1.780089,48.151176,"G",,3505.0,9.5,53,"35",878,555,2076
"PACE","35740","21 bis Avenue Charles Le Goffic 35740 PACE",-1.780089,48.151176,"G",,757.0,0.4,25,"35",878,555,2076
"PACE","35740","21 bis Avenue Charles Le Goffic 35740 PACE",-1.780089,48.151176,"G",,757.0,0.4,25,"35",447,254,210
"QUERIGUT","9460","Route de FormiguÃ¨res 09460 QUERIGUT",2.111295,42.686854,"G",,3637.0,0.1,73,"09",340,190,126
"MONTSOULT","95560","Rue Parmentier 95560 MONTSOULT",2.317173,49.067676,"G",,383.0,3.4,11,"95",649,376,4312
"VELAUX","13880","1 Avenue Antoinette de Beaucaire 13880 VELAUX",5.248386,43.533507,"G",,2515.0,8.5,93,"13",1113,590,7314
"VALBONNE","6560","Impasse du GÃ©nÃ©ral Delfosse Sophia-Antipolis 06560 VALBONNE",7.04526,43.622169,"G",,2002.0,12.1,93,"06",852,447,2795
"SEYNOD","74600","12 Rue des FrÃªnes 74600 SEYNOD",6.096182,45.888873,"G",,1902.0,17.8,82,"74",968,517,544
"LE SOLER","66270","11 Avenue de la RÃ©publique 66270 LE SOLER",2.779481,42.679258,"G",,1040.0,6.8,91,"66",663,382,972
"CESTAS","33610","3 Avenue du 19 Mars 1962 33610 CESTAS",-0.6839,44.742417,"G",,9956.0,16.4,72,"33",1377,824,3175
"ORGEVAL","78630","52 Rue de la Gare 78630 ORGEVAL",1.972762,48.923777,"G",,1547.0,5.8,11,"78",679,332,4153
"ORGEVAL","78630","52 Rue de la Gare 78630 ORGEVAL",1.972762,48.923777,"G",,243.0,0.1,22,"78",690,380,651
"ORGEVAL","78630","52 Rue de la Gare 78630 ORGEVAL",1.972762,48.923777,"G",,243.0,0.1,22,"78",679,332,4153
"MOUGINS","6250","601 Chemin de Campane 06250 MOUGINS",6.99921,43.588027,"G",,2601.0,19.6,93,"06",852,447,2795
"SCIONZIER","74950","130 Rue de la Gendarmerie 74950 SCIONZIER",6.54573,46.049802,"G",,1053.0,7.1,82,"74",968,517,544
"BREUILLET","91650","75 Route de Saint-ChÃ©ron 91650 BREUILLET",2.168216,48.573931,"G",,672.0,8.3,11,"91",709,434,3328
"BREUILLET","91650","75 Route de Saint-ChÃ©ron 91650 BREUILLET",2.168216,48.573931,"G",,2033.0,2.6,54,"91",711,409,733
"BREUILLET","91650","75 Route de Saint-ChÃ©ron 91650 BREUILLET",2.168216,48.573931,"G",,2033.0,2.6,54,"91",709,434,3328
"BRIGNAIS","69530","20 Rue du PresbytÃ¨re 69530 BRIGNAIS",4.762006,45.672911,"G",,1032.0,11.4,82,"69",1064,642,5858
"EGUILLES","13510","Boulevard LÃ©once Artaud 13510 EGUILLES",5.358454,43.568337,"G",,3413.0,7.6,93,"13",1113,590,7314
"FOSSES","95470","41 Avenue de la Haute-GrÃ¨ve 95470 FOSSES",2.509733,49.099196,"G",,362.0,9.6,11,"95",649,376,4312
"RIXHEIM","68170","2 Rue d'Angleterre 68170 RIXHEIM",7.415601,47.746241,"G",,1963.0,13.2,42,"68",857,480,986
"FOLSCHVILLER","57730","13 Impasse Sainte-GeneviÃ¨ve 57730 FOLSCHVILLER",6.687794,49.07231,"G",,953.0,4.2,41,"57",1055,607,2517
"TOURS","37000","Caserne Raby 171 Avenue de Grammont 37000 TOURS",0.69379,47.377631,"G",,3335.0,135.2,24,"37",685,339,898
"AMPUIS","69420","1 Rue Jean Julien Chapelant 69420 AMPUIS",4.809211,45.489408,"G",,1547.0,2.6,82,"69",1064,642,5858
"LEUCATE","11370","Avenue de Septimanie 11370 LEUCATE",3.040629,42.858311,"G",,4800.0,4.1,91,"11",588,309,580
"ROUSSET","13790","700 Quartier le Jas 13790 ROUSSET",5.628128,43.498453,"G",,1662.0,0.2,93,"13",329,169,202
"ROUSSET","13790","700 Quartier le Jas 13790 ROUSSET",5.628128,43.498453,"G",,1662.0,0.2,93,"13",1113,590,7314
"ROUSSET","13790","700 Quartier le Jas 13790 ROUSSET",5.628128,43.498453,"G",,1954.0,4.4,93,"13",1113,590,7314
"QUETIGNY","21800","1 AllÃ©e des Jardins 21800 QUETIGNY",5.121321,47.317169,"G",,830.0,9.7,26,"21",590,325,929
"LATRESNE","33360","9 Chemin du Stade 33360 LATRESNE",-0.491613,44.787624,"G",,1025.0,3.3,72,"33",1377,824,3175
"BOUGUENAIS","44340","23 Rue Gutemberg 44340 BOUGUENAIS",-1.617159,47.172521,"G",,3112.0,17.6,52,"44",1147,674,1672
"MER","41500","1 Avenue du GÃ©nÃ©ral de Gaulle 41500 MER",1.505072,47.709277,"G",,2645.0,6.1,24,"41",499,236,249
"AMBOISE","37400","1 Boulevard Anatole France 37400 AMBOISE",0.982646,47.418663,"G",,4103.0,12.5,24,"37",685,339,898
"ANET","28260","Rue Hubert Baraine 28260 ANET",1.43526,48.853102,"G",,791.0,2.6,24,"28",555,305,329
"MALESHERBES","45330","22 Rue de Boigneville 45330 MALESHERBES",2.408155,48.296741,"G",,1758.0,6.1,24,"45",728,365,934
"PITHIVIERS","45300","Caserne La Haye 62 Faubourg d'OrlÃ©ans 45300 PITHIVIERS",2.249389,48.167932,"G",,695.0,8.8,24,"45",728,365,934
"GIEN","45500","3 Avenue Jean Villejean 45500 GIEN",2.634931,47.691634,"G",,6762.0,15.2,24,"45",728,365,934
"CHECY","45430","128 Rue de la HerpiniÃ¨re 45430 CHECY",2.040365,47.893694,"G",,1551.0,8.2,24,"45",728,365,934
"NANGIS","77370","1 Rue Marcel Paul 77370 NANGIS",3.007385,48.55335,"G",,2418.0,7.8,11,"77",920,463,3773
"ESBLY","77450","1 Rue Jean Le Beau 77450 ESBLY",2.809808,48.897993,"G",,309.0,5.7,11,"77",920,463,3773
"CHELLES","77500","17 Avenue du gendarme Castermant 77500 CHELLES",2.609437,48.878379,"G",,903.0,0.5,22,"77",1145,679,539
"CHELLES","77500","17 Avenue du gendarme Castermant 77500 CHELLES",2.609437,48.878379,"G",,903.0,0.5,22,"77",920,463,3773
"CHELLES","77500","17 Avenue du gendarme Castermant 77500 CHELLES",2.609437,48.878379,"G",,1601.0,52.6,11,"77",920,463,3773
"MEAUX","77100","3 Rue de NoÃ«fort 77100 MEAUX",2.892232,48.957672,"G",,1523.0,49.6,11,"77",920,463,3773
"FONTAINEBLEAU","77300","27 Rue des Bois 77300 FONTAINEBLEAU",2.700525,48.409576,"G",,17237.0,15.3,11,"77",920,463,3773
"MORTCERF","77163","133 Rue du 27 AoÃ»t 1944 77163 MORTCERF",2.917015,48.787201,"G",,1770.0,1.5,11,"77",920,463,3773
"COULOMMIERS","77120","27 Avenue de la RÃ©publique 77120 COULOMMIERS",3.088436,48.815617,"G",,1095.0,14.2,11,"77",920,463,3773
"MORMANT","77720","133 Rue Charles de Gaulle 77720 MORMANT",2.886908,48.611551,"G",,1651.0,4.4,11,"77",920,463,3773
"COUBERT","77170","1 ter Rue Etienne TÃ©trot 77170 COUBERT",2.692864,48.673219,"G",,843.0,1.8,11,"77",920,463,3773
"MELUN","77000","3 Rue AndrÃ© Malraux 77000 MELUN",2.6664,48.550904,"G",,800.0,39.4,11,"77",920,463,3773
"LOUVRES","95380","2 Route de la Grange aux DÃ®mes 95380 LOUVRES",2.512477,49.04622,"G",,1135.0,9.0,11,"95",649,376,4312
"ECOUEN","95440","79 Rue du MarÃ©chal Leclerc 95440 ECOUEN",2.385021,49.022696,"G",,763.0,7.4,11,"95",649,376,4312
"DOMONT","95330","191 Avenue Jean Rostand 95330 DOMONT",2.341166,49.036096,"G",,851.0,14.6,11,"95",649,376,4312
"MONTMORENCY","95160","2 Rue des Gallerands 95160 MONTMORENCY",2.327123,48.990508,"G",,520.0,21.4,11,"95",649,376,4312
"VIGNY","95450","50 Rue Baudouin 95450 VIGNY",1.921827,49.078609,"G",,585.0,0.3,41,"95",1055,607,2517
"VIGNY","95450","50 Rue Baudouin 95450 VIGNY",1.921827,49.078609,"G",,585.0,0.3,41,"95",649,376,4312
"VIGNY","95450","50 Rue Baudouin 95450 VIGNY",1.921827,49.078609,"G",,681.0,1.1,11,"95",649,376,4312
"MARINES","95640","4 Place du Docteur Cesbron 95640 MARINES",1.977488,49.145761,"G",,831.0,3.2,11,"95",649,376,4312
"PONTOISE","95000","Caserne Lange 5 Boulevard de l'Hautil 95000 PONTOISE",2.086802,49.037956,"G",,725.0,29.8,11,"95",649,376,4312
"ORSAY","91400","Rue Nicolas Appert 91400 ORSAY",2.173911,48.71401,"G",,766.0,16.2,11,"91",709,434,3328
"LONGJUMEAU","91160","13 Avenue du MarÃ©chal Leclerc 91160 LONGJUMEAU",2.292307,48.6984,"G",,486.0,21.3,11,"91",709,434,3328
"LIMOURS","91470","52 Rue de Marcoussis 91470 LIMOURS",2.091348,48.644561,"G",,1408.0,6.5,11,"91",709,434,3328
"EGLY","91520","9 AllÃ©e des Joncs 91520 EGLY",2.223609,48.582914,"G",,398.0,5.3,11,"91",709,434,3328
"PALAISEAU","91120","2 Rue Gutenberg 91120 PALAISEAU",2.246687,48.710993,"G",,1168.0,30.3,11,"91",709,434,3328
"LARDY","91510","36 Rue de la Roche-qui-Tourne 91510 LARDY",2.252393,48.519245,"G",,770.0,5.6,11,"91",709,434,3328
"DOURDAN","91410","1 Rue de la Gironde 91410 DOURDAN",2.001426,48.529538,"G",,3071.0,9.8,11,"91",709,434,3328
"ETAMPES","91150","76 Avenue du 8 Mai 1945 91150 ETAMPES",2.156803,48.439912,"G",,4601.0,22.2,11,"91",709,434,3328
"MENNECY","91540","Avenue de Villeroy 91540 MENNECY",2.426289,48.566864,"G",,1115.0,13.3,11,"91",709,434,3328
"EVRY","91000","11 Rue Jean MalÃ©zieux 91000 EVRY",2.44368,48.617816,"G",,855.0,52.4,11,"91",709,434,3328
"EVRY","91000","11 Rue Jean MalÃ©zieux 91000 EVRY",2.44368,48.617816,"G",,462.0,0.4,26,"91",587,321,573
"EVRY","91000","11 Rue Jean MalÃ©zieux 91000 EVRY",2.44368,48.617816,"G",,462.0,0.4,26,"91",709,434,3328
"BRUNOY","91800","5 Avenue Pierre Prost 91800 BRUNOY",2.496994,48.697316,"G",,658.0,25.3,11,"91",709,434,3328
"CHEVREUSE","78460","71 Route de Rambouillet 78460 CHEVREUSE",2.034157,48.70276,"G",,1361.0,5.7,11,"78",679,332,4153
"ABLIS","78660","22 Rue de la Mairie 78660 ABLIS",1.832554,48.518786,"G",,2622.0,3.2,11,"78",679,332,4153
"RAMBOUILLET","78120","1 Rue Louis Pasteur 78120 RAMBOUILLET",1.82338,48.648243,"G",,3590.0,26.1,11,"78",679,332,4153
"MAULE","78580","35 Boulevard Paul BarrÃ© 78580 MAULE",1.855927,48.909327,"G",,1734.0,5.8,11,"78",679,332,4153
"MAULETTE","78550","41 Avenue GÃ©rard Annel 78550 MAULETTE",1.620009,48.792771,"G",,793.0,0.7,11,"78",679,332,4153
"ECQUEVILLY","78920","21 Rue du Bel-Air 78920 ECQUEVILLY",1.918231,48.952391,"G",,1127.0,4.1,11,"78",679,332,4153
"LIMAY","78520","14 Avenue de la Paix 78520 LIMAY",1.736512,48.995374,"G",,1154.0,16.2,11,"78",679,332,4153
"BREVAL","78980","29 Rue RenÃ© Dhal 78980 BREVAL",1.525812,48.945419,"G",,1151.0,2.0,11,"78",679,332,4153
"VERSAILLES","78000","12 Rue Benjamin Franklin 78000 VERSAILLES",2.136323,48.798194,"G",,2606.0,86.5,11,"78",679,332,4153
"CRETEIL","94000","16 Avenue du Chemin-de-Mesly 94000 CRETEIL",2.461242,48.787221,"G",,1144.0,89.4,11,"94",,,3887
"BOBIGNY","93000","118 Rue de la Folie 93000 BOBIGNY",2.442668,48.900193,"G",,674.0,48.5,11,"93",,,4393
"MONTRIOND","74110","70 Route du PrÃ© 74110 MONTRIOND",6.746365,46.216155,"G",,2473.0,0.8,82,"74",968,517,544
"NANTERRE","92000","18 Boulevard Jules Hardouin-Mansart 92000 NANTERRE",2.21048,48.898906,"G",,1223.0,90.0,11,"92",,,6658
"CERVIONE","20221","Lieu-dit Alzetu 20221 CERVIONE",9.512472,42.324822,"G",,1149.0,1.7,94,"2B",436,214,386
"MOROSAGLIA","20218","Route de la Gare Ponte-Leccia 20218 MOROSAGLIA",9.251918,42.44593,"G",,2454.0,1.1,94,"2B",436,214,386
"CALACUCCIA","20224","Route de Bonamacce 20224 CALACUCCIA",9.015777,42.338702,"G",,1820.0,0.3,94,"2B",436,214,386
"BORGO","20290","Route de la Gare 20290 BORGO",9.454618,42.564857,"G",,4838.0,7.5,94,"2B",436,214,386
"PROPRIANO","20110","17 Rue Charles Tomasini 20110 PROPRIANO",8.909764,41.674962,"G",,1906.0,3.3,94,"2A",348,182,471
"SARTENE","20100","Quartier Archinard 20100 SARTENE",8.930809,41.57012,"G",,20182.0,3.1,94,"2A",348,182,471
"PIANA","20115","Rue Danielle Casanova 20115 PIANA",8.635418,42.237187,"G",,6327.0,0.5,94,"2A",348,182,471
"THUIR","66300","1 Rue de La Riberette 66300 THUIR",2.760374,42.631863,"G",,1997.0,7.3,91,"66",663,382,972
"RIVESALTES","66600","37 Avenue Victor Hugo 66600 RIVESALTES",2.868705,42.769973,"G",,2880.0,8.3,91,"66",663,382,972
"MILLAS","66170","1 Rue Louis NoguÃ¨res 66170 MILLAS",2.686119,42.701367,"G",,1945.0,3.9,91,"66",663,382,972
"ELNE","66200","31 Rue du Four-Ã -Chaux 66200 ELNE",2.968956,42.602027,"G",,2203.0,7.7,91,"66",663,382,972
"PERPIGNAN","66000","Caserne Munier 25 Avenue Guynemer 66000 PERPIGNAN",2.903883,42.693306,"G",,6831.0,117.9,91,"66",663,382,972
"VILLEFORT","48800","Lieu-dit Les SÃ©dariÃ¨s 48800 VILLEFORT",3.931933,44.433981,"G",,809.0,0.6,91,"48",269,144,66
"VILLEFORT","48800","Lieu-dit Les SÃ©dariÃ¨s 48800 VILLEFORT",3.931933,44.433981,"G",,1274.0,0.1,91,"48",588,309,580
"VILLEFORT","48800","Lieu-dit Les SÃ©dariÃ¨s 48800 VILLEFORT",3.931933,44.433981,"G",,1274.0,0.1,91,"48",269,144,66
"TREVES","30750","Rue de la Mairie Le Village 30750 TREVES",3.387093,44.073736,"G",,2718.0,0.1,91,"30",856,503,1279
"TREVES","30750","Rue de la Mairie Le Village 30750 TREVES",3.387093,44.073736,"G",,768.0,0.7,82,"30",856,503,1279
"TREVES","30750","Rue de la Mairie Le Village 30750 TREVES",3.387093,44.073736,"G",,768.0,0.7,82,"30",1064,642,5858
"GENOLHAC","30450","Avenue de la LibÃ©ration 30450 GENOLHAC",3.948465,44.34766,"G",,1728.0,0.9,91,"30",856,503,1279
"ALES","30100","2 Avenue du Commandant Viala 30100 ALES",4.080146,44.127457,"G",,2327.0,41.4,91,"30",856,503,1279
"MARGUERITTES","30320","310 AllÃ©e Jacques Cartier 30320 MARGUERITTES",4.445962,43.869556,"G",,2543.0,8.7,91,"30",856,503,1279
"NIMES","30000","56 Rue Sainte-GeneviÃ¨ve 30000 NIMES",4.363754,43.825999,"G",,16118.0,140.7,91,"30",856,503,1279
"CHALABRE","11230","35 Route de Limoux 11230 CHALABRE",2.006536,42.985863,"G",,1605.0,1.1,91,"11",588,309,580
"BELCAIRE","11340","4 Avenue d'Ax-les-Thermes 11340 BELCAIRE",1.961119,42.81793,"G",,3187.0,0.4,91,"11",588,309,580
"CASTELNAUDARY","11400","Caserne Gendarme Lebaron 109 Avenue Arnaut Vidal 11400 CASTELNAUDARY",1.948967,43.313763,"G",,4789.0,11.8,91,"11",588,309,580
"CARCASSONNE","11000","2 Rue Paul Lacombe 11000 CARCASSONNE",2.36286,43.213867,"G",,6513.0,47.9,91,"11",588,309,580
"MEZE","34140","1 Chemin de Cagueloup 34140 MEZE",3.590072,43.435195,"G",,4702.0,10.7,91,"34",1115,659,1812
"OLONZAC","34210","Avenue d'Homps 34210 OLONZAC",2.731258,43.282806,"G",,1933.0,1.7,91,"34",1115,659,1812
"CAPESTANG","34310","33 bis Avenue de la RÃ©publique 34310 CAPESTANG",3.039173,43.327131,"G",,4051.0,3.0,91,"34",1115,659,1812
"MAUGUIO","34130","Rue Jean-SÃ©bastien Bach 34130 MAUGUIO",4.006112,43.623714,"G",,7691.0,16.2,91,"34",1115,659,1812
"LUNEL","34400","Caserne Vauban 171 Avenue du GÃ©nÃ©ral de Gaulle 34400 LUNEL",4.140308,43.67695,"G",,2426.0,24.9,91,"34",1115,659,1812
"CASTRIES","34160","18 Avenue du Moulin-Ã -Vent 34160 CASTRIES",3.979546,43.678354,"G",,2407.0,5.7,91,"34",1115,659,1812
"MONTPELLIER","34000","Caserne Lepic 359 Rue de Font-Couverte 34000 MONTPELLIER",3.855945,43.598834,"G",,5711.0,255.1,91,"34",1115,659,1812
"VALREAS","84600","60 Rue Marie Vierge 84600 VALREAS",4.999324,44.386816,"G",,5876.0,9.9,93,"84",706,405,766
"BOLLENE","84500","164 Avenue AndrÃ© Rombeau 84500 BOLLENE",4.74496,44.277064,"G",,5436.0,13.9,93,"84",706,405,766
"CADENET","84160","15 Route de Pertuis 84160 CADENET",5.376854,43.73288,"G",,2583.0,4.1,93,"84",706,405,766
"APT","84400","226 Avenue EugÃ¨ne Baudouin 84400 APT",5.381552,43.879219,"G",,4509.0,11.4,93,"84",706,405,766
"SORGUES","84700","838 Route de l'Oiselay 84700 SORGUES",4.863029,44.014729,"G",,3355.0,18.0,93,"84",706,405,766
"LE PONTET","84130","187 Route de Carpentras 84130 LE PONTET",4.872289,43.97424,"G",,861.0,0.1,82,"84",632,315,487
"LE PONTET","84130","187 Route de Carpentras 84130 LE PONTET",4.872289,43.97424,"G",,861.0,0.1,82,"84",706,405,766
"LE PONTET","84130","187 Route de Carpentras 84130 LE PONTET",4.872289,43.97424,"G",,1074.0,16.9,93,"84",706,405,766
"AVIGNON","84000","20 Boulevard Raspail 84000 AVIGNON",4.802366,43.944547,"G",,6491.0,89.6,93,"84",706,405,766
"HYERES","83400","120 Route de Toulon 83400 HYERES",6.105746,43.126121,"G",,13356.0,54.7,93,"83",921,500,1767
"LE BEAUSSET","83330","RÃ©sidence Les Goubelets Boulevard du 11 Novembre 1918 83330 LE BEAUSSET",5.801934,43.19585,"G",,3610.0,9.1,93,"83",921,500,1767
"TOULON","83000","3 Rue Vincent AllÃ¨gre 83000 TOULON",5.924275,43.127203,"G",,4419.0,165.5,93,"83",921,500,1767
"GRIMAUD","83310","Chemin de la Boal 83310 GRIMAUD",6.535784,43.270542,"G",,4483.0,4.3,93,"83",921,500,1767
"FREJUS","83600","HLM Les Sables 215 Rue de Triberg 83600 FREJUS",6.748289,43.427898,"G",,10504.0,52.2,93,"83",921,500,1767
"LA ROQUEBRUSSANNE","83136","Route DÃ©partementale 64 Looroun 83136 LA ROQUEBRUSSANNE",5.97853,43.335471,"G",,3734.0,2.3,93,"83",921,500,1767
"RIANS","83560","Quartier Les GypiÃ¨res 10 Chemin Saint-Marc 83560 RIANS",5.758464,43.611703,"G",,3281.0,1.0,24,"83",477,241,444
"RIANS","83560","Quartier Les GypiÃ¨res 10 Chemin Saint-Marc 83560 RIANS",5.758464,43.611703,"G",,3281.0,1.0,24,"83",921,500,1767
"RIANS","83560","Quartier Les GypiÃ¨res 10 Chemin Saint-Marc 83560 RIANS",5.758464,43.611703,"G",,9707.0,4.2,93,"83",921,500,1767
"BRIGNOLES","83170","1 Avenue Jean Moulin 83170 BRIGNOLES",6.062446,43.410903,"G",,7081.0,16.5,93,"83",921,500,1767
"LORGUES","83510","10 Avenue de Toulon 83510 LORGUES",6.356184,43.490828,"G",,6461.0,8.9,93,"83",921,500,1767
"FAYENCE","83440","2971 Route de FrÃ©jus 83440 FAYENCE",6.678712,43.623934,"G",,2775.0,4.9,93,"83",921,500,1767
"DRAGUIGNAN","83300","Caserne Massabiau 183 Avenue Alphonse Daudet 83300 DRAGUIGNAN",6.454224,43.541701,"G",,5404.0,36.6,93,"83",921,500,1767
"ROQUESTERON","6910","2 Chemin des Ecoles 06910 ROQUESTERON",7.005392,43.874417,"G",,631.0,0.6,93,"06",852,447,2795
"VENCE","6140","669 Avenue Emile Hugues 06140 VENCE",7.119147,43.714234,"G",,3934.0,19.2,93,"06",852,447,2795
"SERANON","6750","Quartier Bastide-de-Broundet 100 Rue de la Gendarmerie 06750 SERANON",6.700489,43.773035,"G",,2326.0,0.5,93,"06",852,447,2795
"GRASSE","6130","Caserne Kellermann 4 Avenue Sidi-Brahim 06130 GRASSE",6.923728,43.651205,"G",,4428.0,52.0,93,"06",852,447,2795
"LA TRINITE","6340","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE",7.311306,43.741536,"G",,297.0,0.1,23,"06",852,447,2795
"LA TRINITE","6340","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE",7.311306,43.741536,"G",,297.0,0.1,23,"06",847,466,366
"LA TRINITE","6340","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE",7.311306,43.741536,"G",,1489.0,10.4,93,"06",852,447,2795
"LA TRINITE","6340","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE",7.311306,43.741536,"G",,916.0,0.4,25,"06",852,447,2795
"LA TRINITE","6340","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE",7.311306,43.741536,"G",,916.0,0.4,25,"06",613,349,443
"LA TRINITE","6340","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE",7.311306,43.741536,"G",,479.0,0.3,82,"06",852,447,2795
"LA TRINITE","6340","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE",7.311306,43.741536,"G",,479.0,0.3,82,"06",632,315,487
"LA TRINITE","6340","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE",7.311306,43.741536,"G",,4650.0,13.9,2,"06",852,447,2795
"CONTES","6390","Quartier Le Pilon 9 AllÃ©e des EscaÃ¯ouns 06390 CONTES",7.322786,43.803463,"G",,713.0,0.3,31,"06",852,447,2795
"CONTES","6390","Quartier Le Pilon 9 AllÃ©e des EscaÃ¯ouns 06390 CONTES",7.322786,43.803463,"G",,713.0,0.3,31,"06",1059,595,3483
"CONTES","6390","Quartier Le Pilon 9 AllÃ©e des EscaÃ¯ouns 06390 CONTES",7.322786,43.803463,"G",,1950.0,6.9,93,"06",852,447,2795
"NICE","6000","Caserne Nau 22 Rue de RoquebilliÃ¨re 06000 NICE",7.251437,43.716028,"G",,7391.0,340.7,93,"06",852,447,2795
"GUILLESTRE","5600","Rond-point du Queyras 05600 GUILLESTRE",6.697685,44.662411,"G",,5114.0,2.3,93,"05",329,169,202
"LA GRAVE","5320","Route Nationale 91 05320 LA GRAVE",6.288765,45.054645,"G",,12342.0,0.5,93,"05",329,169,202
"MANOSQUE","4100","594 Avenue FrÃ©dÃ©ric Mistral 04100 MANOSQUE",5.785993,43.818226,"G",,5668.0,22.3,93,"04",431,223,133
"CASTELLANE","4120","Route DÃ©partementale 955 La CÃ©biÃ¨re 04120 CASTELLANE",6.489125,43.84993,"G",,12232.0,1.6,93,"04",431,223,133
"ROGNAC","13340","52 Boulevard Jean JaurÃ¨s 13340 ROGNAC",5.227105,43.487854,"G",,1763.0,11.9,93,"13",1113,590,7314
"ORGON","13660","6 Chemin du Stade 13660 ORGON",5.031344,43.791283,"G",,3478.0,3.1,93,"13",1113,590,7314
"MALLEMORT","13370","Avenue Charles de Gaulle 13370 MALLEMORT",5.181784,43.722264,"G",,2860.0,5.9,93,"13",1113,590,7314
