"long","lat","Type","Adresse","CP","Ville","nDept","nReg","Effectif"
"-1.780089","48.151176","G","21 bis Avenue Charles Le Goffic 35740 PACE","35740","PACE","35","25","11"
"-1.780089","48.151176","G","21 bis Avenue Charles Le Goffic 35740 PACE","35740","PACE","35","25","6"
"2.111295","42.686854","G","Route de FormiguÃ¨res 09460 QUERIGUT","9460","QUERIGUT","09","73","8"
"2.317173","49.067676","G","Rue Parmentier 95560 MONTSOULT","95560","MONTSOULT","95","11","17"
"5.248386","43.533507","G","1 Avenue Antoinette de Beaucaire 13880 VELAUX","13880","VELAUX","13","93","15"
"7.04526","43.622169","G","Impasse du GÃ©nÃ©ral Delfosse Sophia-Antipolis 06560 VALBONNE","6560","VALBONNE","06","93","9"
"6.096182","45.888873","G","12 Rue des FrÃªnes 74600 SEYNOD","74600","SEYNOD","74","82","10"
"2.779481","42.679258","G","11 Avenue de la RÃ©publique 66270 LE SOLER","66270","LE SOLER","66","91","9"
"-0.6839","44.742417","G","3 Avenue du 19 Mars 1962 33610 CESTAS","33610","CESTAS","33","72","9"
"1.972762","48.923777","G","52 Rue de la Gare 78630 ORGEVAL","78630","ORGEVAL","78","11","12"
"1.972762","48.923777","G","52 Rue de la Gare 78630 ORGEVAL","78630","ORGEVAL","78","22","13"
"1.972762","48.923777","G","52 Rue de la Gare 78630 ORGEVAL","78630","ORGEVAL","78","22","12"
"6.99921","43.588027","G","601 Chemin de Campane 06250 MOUGINS","6250","MOUGINS","06","93","9"
"6.54573","46.049802","G","130 Rue de la Gendarmerie 74950 SCIONZIER","74950","SCIONZIER","74","82","10"
"2.168216","48.573931","G","75 Route de Saint-ChÃ©ron 91650 BREUILLET","91650","BREUILLET","91","11","11"
"2.168216","48.573931","G","75 Route de Saint-ChÃ©ron 91650 BREUILLET","91650","BREUILLET","91","54","10"
"2.168216","48.573931","G","75 Route de Saint-ChÃ©ron 91650 BREUILLET","91650","BREUILLET","91","54","11"
"4.762006","45.672911","G","20 Rue du PresbytÃ¨re 69530 BRIGNAIS","69530","BRIGNAIS","69","82","11"
"5.358454","43.568337","G","Boulevard LÃ©once Artaud 13510 EGUILLES","13510","EGUILLES","13","93","15"
"2.509733","49.099196","G","41 Avenue de la Haute-GrÃ¨ve 95470 FOSSES","95470","FOSSES","95","11","17"
"7.415601","47.746241","G","2 Rue d'Angleterre 68170 RIXHEIM","68170","RIXHEIM","68","42","9"
"6.687794","49.07231","G","13 Impasse Sainte-GeneviÃ¨ve 57730 FOLSCHVILLER","57730","FOLSCHVILLER","57","41","11"
"0.69379","47.377631","G","Caserne Raby 171 Avenue de Grammont 37000 TOURS","37000","TOURS","37","24","11"
"4.809211","45.489408","G","1 Rue Jean Julien Chapelant 69420 AMPUIS","69420","AMPUIS","69","82","11"
"3.040629","42.858311","G","Avenue de Septimanie 11370 LEUCATE","11370","LEUCATE","11","91","8"
"5.628128","43.498453","G","700 Quartier le Jas 13790 ROUSSET","13790","ROUSSET","13","93","5"
"5.628128","43.498453","G","700 Quartier le Jas 13790 ROUSSET","13790","ROUSSET","13","93","15"
"5.628128","43.498453","G","700 Quartier le Jas 13790 ROUSSET","13790","ROUSSET","13","93","15"
"5.121321","47.317169","G","1 AllÃ©e des Jardins 21800 QUETIGNY","21800","QUETIGNY","21","26","8"
"-0.491613","44.787624","G","9 Chemin du Stade 33360 LATRESNE","33360","LATRESNE","33","72","9"
"-1.617159","47.172521","G","23 Rue Gutemberg 44340 BOUGUENAIS","44340","BOUGUENAIS","44","52","12"
"1.505072","47.709277","G","1 Avenue du GÃ©nÃ©ral de Gaulle 41500 MER","41500","MER","41","24","9"
"0.982646","47.418663","G","1 Boulevard Anatole France 37400 AMBOISE","37400","AMBOISE","37","24","11"
"1.43526","48.853102","G","Rue Hubert Baraine 28260 ANET","28260","ANET","28","24","8"
"2.408155","48.296741","G","22 Rue de Boigneville 45330 MALESHERBES","45330","MALESHERBES","45","24","10"
"2.249389","48.167932","G","Caserne La Haye 62 Faubourg d'OrlÃ©ans 45300 PITHIVIERS","45300","PITHIVIERS","45","24","10"
"2.634931","47.691634","G","3 Avenue Jean Villejean 45500 GIEN","45500","GIEN","45","24","10"
"2.040365","47.893694","G","128 Rue de la HerpiniÃ¨re 45430 CHECY","45430","CHECY","45","24","10"
"3.007385","48.55335","G","1 Rue Marcel Paul 77370 NANGIS","77370","NANGIS","77","11","13"
"2.809808","48.897993","G","1 Rue Jean Le Beau 77450 ESBLY","77450","ESBLY","77","11","13"
"2.609437","48.878379","G","17 Avenue du gendarme Castermant 77500 CHELLES","77500","CHELLES","77","22","18"
"2.609437","48.878379","G","17 Avenue du gendarme Castermant 77500 CHELLES","77500","CHELLES","77","22","13"
"2.609437","48.878379","G","17 Avenue du gendarme Castermant 77500 CHELLES","77500","CHELLES","77","11","13"
"2.892232","48.957672","G","3 Rue de NoÃ«fort 77100 MEAUX","77100","MEAUX","77","11","13"
"2.700525","48.409576","G","27 Rue des Bois 77300 FONTAINEBLEAU","77300","FONTAINEBLEAU","77","11","13"
"2.917015","48.787201","G","133 Rue du 27 AoÃ»t 1944 77163 MORTCERF","77163","MORTCERF","77","11","13"
"3.088436","48.815617","G","27 Avenue de la RÃ©publique 77120 COULOMMIERS","77120","COULOMMIERS","77","11","13"
"2.886908","48.611551","G","133 Rue Charles de Gaulle 77720 MORMANT","77720","MORMANT","77","11","13"
"2.692864","48.673219","G","1 ter Rue Etienne TÃ©trot 77170 COUBERT","77170","COUBERT","77","11","13"
"2.6664","48.550904","G","3 Rue AndrÃ© Malraux 77000 MELUN","77000","MELUN","77","11","13"
"2.512477","49.04622","G","2 Route de la Grange aux DÃ®mes 95380 LOUVRES","95380","LOUVRES","95","11","17"
"2.385021","49.022696","G","79 Rue du MarÃ©chal Leclerc 95440 ECOUEN","95440","ECOUEN","95","11","17"
"2.341166","49.036096","G","191 Avenue Jean Rostand 95330 DOMONT","95330","DOMONT","95","11","17"
"2.327123","48.990508","G","2 Rue des Gallerands 95160 MONTMORENCY","95160","MONTMORENCY","95","11","17"
"1.921827","49.078609","G","50 Rue Baudouin 95450 VIGNY","95450","VIGNY","95","41","27"
"1.921827","49.078609","G","50 Rue Baudouin 95450 VIGNY","95450","VIGNY","95","41","17"
"1.921827","49.078609","G","50 Rue Baudouin 95450 VIGNY","95450","VIGNY","95","11","17"
"1.977488","49.145761","G","4 Place du Docteur Cesbron 95640 MARINES","95640","MARINES","95","11","17"
"2.086802","49.037956","G","Caserne Lange 5 Boulevard de l'Hautil 95000 PONTOISE","95000","PONTOISE","95","11","17"
"2.173911","48.71401","G","Rue Nicolas Appert 91400 ORSAY","91400","ORSAY","91","11","11"
"2.292307","48.6984","G","13 Avenue du MarÃ©chal Leclerc 91160 LONGJUMEAU","91160","LONGJUMEAU","91","11","11"
"2.091348","48.644561","G","52 Rue de Marcoussis 91470 LIMOURS","91470","LIMOURS","91","11","11"
"2.223609","48.582914","G","9 AllÃ©e des Joncs 91520 EGLY","91520","EGLY","91","11","11"
"2.246687","48.710993","G","2 Rue Gutenberg 91120 PALAISEAU","91120","PALAISEAU","91","11","11"
"2.252393","48.519245","G","36 Rue de la Roche-qui-Tourne 91510 LARDY","91510","LARDY","91","11","11"
"2.001426","48.529538","G","1 Rue de la Gironde 91410 DOURDAN","91410","DOURDAN","91","11","11"
"2.156803","48.439912","G","76 Avenue du 8 Mai 1945 91150 ETAMPES","91150","ETAMPES","91","11","11"
"2.426289","48.566864","G","Avenue de Villeroy 91540 MENNECY","91540","MENNECY","91","11","11"
"2.44368","48.617816","G","11 Rue Jean MalÃ©zieux 91000 EVRY","91000","EVRY","91","11","11"
"2.44368","48.617816","G","11 Rue Jean MalÃ©zieux 91000 EVRY","91000","EVRY","91","26","8"
"2.44368","48.617816","G","11 Rue Jean MalÃ©zieux 91000 EVRY","91000","EVRY","91","26","11"
"2.496994","48.697316","G","5 Avenue Pierre Prost 91800 BRUNOY","91800","BRUNOY","91","11","11"
"2.034157","48.70276","G","71 Route de Rambouillet 78460 CHEVREUSE","78460","CHEVREUSE","78","11","12"
"1.832554","48.518786","G","22 Rue de la Mairie 78660 ABLIS","78660","ABLIS","78","11","12"
"1.82338","48.648243","G","1 Rue Louis Pasteur 78120 RAMBOUILLET","78120","RAMBOUILLET","78","11","12"
"1.855927","48.909327","G","35 Boulevard Paul BarrÃ© 78580 MAULE","78580","MAULE","78","11","12"
"1.620009","48.792771","G","41 Avenue GÃ©rard Annel 78550 MAULETTE","78550","MAULETTE","78","11","12"
"1.918231","48.952391","G","21 Rue du Bel-Air 78920 ECQUEVILLY","78920","ECQUEVILLY","78","11","12"
"1.736512","48.995374","G","14 Avenue de la Paix 78520 LIMAY","78520","LIMAY","78","11","12"
"1.525812","48.945419","G","29 Rue RenÃ© Dhal 78980 BREVAL","78980","BREVAL","78","11","12"
"2.136323","48.798194","G","12 Rue Benjamin Franklin 78000 VERSAILLES","78000","VERSAILLES","78","11","12"
"2.461242","48.787221","G","16 Avenue du Chemin-de-Mesly 94000 CRETEIL","94000","CRETEIL","94","11","7"
"2.442668","48.900193","G","118 Rue de la Folie 93000 BOBIGNY","93000","BOBIGNY","93","11","7"
"6.746365","46.216155","G","70 Route du PrÃ© 74110 MONTRIOND","74110","MONTRIOND","74","82","10"
"2.21048","48.898906","G","18 Boulevard Jules Hardouin-Mansart 92000 NANTERRE","92000","NANTERRE","92","11","10"
"9.512472","42.324822","G","Lieu-dit Alzetu 20221 CERVIONE","20221","CERVIONE","2B","94","9"
"9.251918","42.44593","G","Route de la Gare Ponte-Leccia 20218 MOROSAGLIA","20218","MOROSAGLIA","2B","94","9"
"9.015777","42.338702","G","Route de Bonamacce 20224 CALACUCCIA","20224","CALACUCCIA","2B","94","9"
"9.454618","42.564857","G","Route de la Gare 20290 BORGO","20290","BORGO","2B","94","9"
"8.909764","41.674962","G","17 Rue Charles Tomasini 20110 PROPRIANO","20110","PROPRIANO","2A","94","8"
"8.930809","41.57012","G","Quartier Archinard 20100 SARTENE","20100","SARTENE","2A","94","8"
"8.635418","42.237187","G","Rue Danielle Casanova 20115 PIANA","20115","PIANA","2A","94","8"
"2.760374","42.631863","G","1 Rue de La Riberette 66300 THUIR","66300","THUIR","66","91","9"
"2.868705","42.769973","G","37 Avenue Victor Hugo 66600 RIVESALTES","66600","RIVESALTES","66","91","9"
"2.686119","42.701367","G","1 Rue Louis NoguÃ¨res 66170 MILLAS","66170","MILLAS","66","91","9"
"2.968956","42.602027","G","31 Rue du Four-Ã -Chaux 66200 ELNE","66200","ELNE","66","91","9"
"2.903883","42.693306","G","Caserne Munier 25 Avenue Guynemer 66000 PERPIGNAN","66000","PERPIGNAN","66","91","9"
"3.931933","44.433981","G","Lieu-dit Les SÃ©dariÃ¨s 48800 VILLEFORT","48800","VILLEFORT","48","91","6"
"3.931933","44.433981","G","Lieu-dit Les SÃ©dariÃ¨s 48800 VILLEFORT","48800","VILLEFORT","48","91","11"
"3.931933","44.433981","G","Lieu-dit Les SÃ©dariÃ¨s 48800 VILLEFORT","48800","VILLEFORT","48","91","6"
"3.387093","44.073736","G","Rue de la Mairie Le Village 30750 TREVES","30750","TREVES","30","91","8"
"3.387093","44.073736","G","Rue de la Mairie Le Village 30750 TREVES","30750","TREVES","30","82","8"
"3.387093","44.073736","G","Rue de la Mairie Le Village 30750 TREVES","30750","TREVES","30","82","9"
"3.948465","44.34766","G","Avenue de la LibÃ©ration 30450 GENOLHAC","30450","GENOLHAC","30","91","8"
"4.080146","44.127457","G","2 Avenue du Commandant Viala 30100 ALES","30100","ALES","30","91","8"
"4.445962","43.869556","G","310 AllÃ©e Jacques Cartier 30320 MARGUERITTES","30320","MARGUERITTES","30","91","8"
"4.363754","43.825999","G","56 Rue Sainte-GeneviÃ¨ve 30000 NIMES","30000","NIMES","30","91","8"
"2.006536","42.985863","G","35 Route de Limoux 11230 CHALABRE","11230","CHALABRE","11","91","8"
"1.961119","42.81793","G","4 Avenue d'Ax-les-Thermes 11340 BELCAIRE","11340","BELCAIRE","11","91","8"
"1.948967","43.313763","G","Caserne Gendarme Lebaron 109 Avenue Arnaut Vidal 11400 CASTELNAUDARY","11400","CASTELNAUDARY","11","91","8"
"2.36286","43.213867","G","2 Rue Paul Lacombe 11000 CARCASSONNE","11000","CARCASSONNE","11","91","8"
"3.590072","43.435195","G","1 Chemin de Cagueloup 34140 MEZE","34140","MEZE","34","91","13"
"2.731258","43.282806","G","Avenue d'Homps 34210 OLONZAC","34210","OLONZAC","34","91","13"
"3.039173","43.327131","G","33 bis Avenue de la RÃ©publique 34310 CAPESTANG","34310","CAPESTANG","34","91","13"
"4.006112","43.623714","G","Rue Jean-SÃ©bastien Bach 34130 MAUGUIO","34130","MAUGUIO","34","91","13"
"4.140308","43.67695","G","Caserne Vauban 171 Avenue du GÃ©nÃ©ral de Gaulle 34400 LUNEL","34400","LUNEL","34","91","13"
"3.979546","43.678354","G","18 Avenue du Moulin-Ã -Vent 34160 CASTRIES","34160","CASTRIES","34","91","13"
"3.855945","43.598834","G","Caserne Lepic 359 Rue de Font-Couverte 34000 MONTPELLIER","34000","MONTPELLIER","34","91","13"
"4.999324","44.386816","G","60 Rue Marie Vierge 84600 VALREAS","84600","VALREAS","84","93","14"
"4.74496","44.277064","G","164 Avenue AndrÃ© Rombeau 84500 BOLLENE","84500","BOLLENE","84","93","14"
"5.376854","43.73288","G","15 Route de Pertuis 84160 CADENET","84160","CADENET","84","93","14"
"5.381552","43.879219","G","226 Avenue EugÃ¨ne Baudouin 84400 APT","84400","APT","84","93","14"
"4.863029","44.014729","G","838 Route de l'Oiselay 84700 SORGUES","84700","SORGUES","84","93","14"
"4.872289","43.97424","G","187 Route de Carpentras 84130 LE PONTET","84130","LE PONTET","84","82","11"
"4.872289","43.97424","G","187 Route de Carpentras 84130 LE PONTET","84130","LE PONTET","84","82","14"
"4.872289","43.97424","G","187 Route de Carpentras 84130 LE PONTET","84130","LE PONTET","84","93","14"
"4.802366","43.944547","G","20 Boulevard Raspail 84000 AVIGNON","84000","AVIGNON","84","93","14"
"6.105746","43.126121","G","120 Route de Toulon 83400 HYERES","83400","HYERES","83","93","13"
"5.801934","43.19585","G","RÃ©sidence Les Goubelets Boulevard du 11 Novembre 1918 83330 LE BEAUSSET","83330","LE BEAUSSET","83","93","13"
"5.924275","43.127203","G","3 Rue Vincent AllÃ¨gre 83000 TOULON","83000","TOULON","83","93","13"
"6.535784","43.270542","G","Chemin de la Boal 83310 GRIMAUD","83310","GRIMAUD","83","93","13"
"6.748289","43.427898","G","HLM Les Sables 215 Rue de Triberg 83600 FREJUS","83600","FREJUS","83","93","13"
"5.97853","43.335471","G","Route DÃ©partementale 64 Looroun 83136 LA ROQUEBRUSSANNE","83136","LA ROQUEBRUSSANNE","83","93","13"
"5.758464","43.611703","G","Quartier Les GypiÃ¨res 10 Chemin Saint-Marc 83560 RIANS","83560","RIANS","83","24","7"
"5.758464","43.611703","G","Quartier Les GypiÃ¨res 10 Chemin Saint-Marc 83560 RIANS","83560","RIANS","83","24","13"
"5.758464","43.611703","G","Quartier Les GypiÃ¨res 10 Chemin Saint-Marc 83560 RIANS","83560","RIANS","83","93","13"
"6.062446","43.410903","G","1 Avenue Jean Moulin 83170 BRIGNOLES","83170","BRIGNOLES","83","93","13"
"6.356184","43.490828","G","10 Avenue de Toulon 83510 LORGUES","83510","LORGUES","83","93","13"
"6.678712","43.623934","G","2971 Route de FrÃ©jus 83440 FAYENCE","83440","FAYENCE","83","93","13"
"6.454224","43.541701","G","Caserne Massabiau 183 Avenue Alphonse Daudet 83300 DRAGUIGNAN","83300","DRAGUIGNAN","83","93","13"
"7.005392","43.874417","G","2 Chemin des Ecoles 06910 ROQUESTERON","6910","ROQUESTERON","06","93","9"
"7.119147","43.714234","G","669 Avenue Emile Hugues 06140 VENCE","6140","VENCE","06","93","9"
"6.700489","43.773035","G","Quartier Bastide-de-Broundet 100 Rue de la Gendarmerie 06750 SERANON","6750","SERANON","06","93","9"
"6.923728","43.651205","G","Caserne Kellermann 4 Avenue Sidi-Brahim 06130 GRASSE","6130","GRASSE","06","93","9"
"7.311306","43.741536","G","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE","6340","LA TRINITE","06","23","9"
"7.311306","43.741536","G","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE","6340","LA TRINITE","06","23","9"
"7.311306","43.741536","G","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE","6340","LA TRINITE","06","93","9"
"7.311306","43.741536","G","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE","6340","LA TRINITE","06","25","9"
"7.311306","43.741536","G","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE","6340","LA TRINITE","06","25","7"
"7.311306","43.741536","G","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE","6340","LA TRINITE","06","82","9"
"7.311306","43.741536","G","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE","6340","LA TRINITE","06","82","7"
"7.311306","43.741536","G","17 Boulevard du GÃ©nÃ©ral de Gaulle 06340 LA TRINITE","6340","LA TRINITE","06","2","9"
"7.322786","43.803463","G","Quartier Le Pilon 9 AllÃ©e des EscaÃ¯ouns 06390 CONTES","6390","CONTES","06","31","9"
"7.322786","43.803463","G","Quartier Le Pilon 9 AllÃ©e des EscaÃ¯ouns 06390 CONTES","6390","CONTES","06","31","12"
"7.322786","43.803463","G","Quartier Le Pilon 9 AllÃ©e des EscaÃ¯ouns 06390 CONTES","6390","CONTES","06","93","9"
"7.251437","43.716028","G","Caserne Nau 22 Rue de RoquebilliÃ¨re 06000 NICE","6000","NICE","06","93","9"
"6.697685","44.662411","G","Rond-point du Queyras 05600 GUILLESTRE","5600","GUILLESTRE","05","93","7"
"6.288765","45.054645","G","Route Nationale 91 05320 LA GRAVE","5320","LA GRAVE","05","93","7"
"5.785993","43.818226","G","594 Avenue FrÃ©dÃ©ric Mistral 04100 MANOSQUE","4100","MANOSQUE","04","93","7"
"6.489125","43.84993","G","Route DÃ©partementale 955 La CÃ©biÃ¨re 04120 CASTELLANE","4120","CASTELLANE","04","93","7"
"5.227105","43.487854","G","52 Boulevard Jean JaurÃ¨s 13340 ROGNAC","13340","ROGNAC","13","93","15"
"5.031344","43.791283","G","6 Chemin du Stade 13660 ORGON","13660","ORGON","13","93","15"
"5.181784","43.722264","G","Avenue Charles de Gaulle 13370 MALLEMORT","13370","MALLEMORT","13","93","15"
"5.033358","43.68889","G","Avenue RenÃ© Cassin 13430 EYGUIERES","13430","EYGUIERES","13","93","15"
"5.599916","43.341726","G","22 Quartier Le Clauvier 13360 ROQUEVAIRE","13360","ROQUEVAIRE","13","93","15"
"5.541983","43.430115","G","2 MontÃ©e des Brigoulets 13850 GREASQUE","13850","GREASQUE","13","93","15"
"5.542952","43.215125","G","29 Rue de la Ciotat 13260 CASSIS","13260","CASSIS","13","93","15"
"5.572279","43.287853","G","Caserne Gendarme Alexandre 71 Avenue du 19 Mars 1962 13400 AUBAGNE","13400","AUBAGNE","13","93","15"
"4.729424","43.41139","G","28 Rue Fernand BenoÃ®t 13200 ARLES","13200","ARLES","13","93","15"
"4.854659","43.886744","G","2 Chemin de l'Oratoire 13160 CHATEAURENARD","13160","CHATEAURENARD","13","93","15"
"4.632057","43.675084","G","1 Boulevard des Lices 13200 ARLES","13200","ARLES","13","93","15"
"5.678345","43.449063","G","52 Avenue mirabeau 13530 TRETS","13530","TRETS","13","93","15"
"5.473919","43.453114","G","Avenue Maurel Agricol 13120 GARDANNE","13120","GARDANNE","13","93","15"
"5.594199","47.445262","G","17 Rue Maurice Signard 70100 GRAY","70100","GRAY","70","43","6"
"6.496572","47.685814","G","12 Rue Pasteur 70200 LURE","70200","LURE","70","82","8"
"6.496572","47.685814","G","12 Rue Pasteur 70200 LURE","70200","LURE","70","82","6"
"6.496572","47.685814","G","12 Rue Pasteur 70200 LURE","70200","LURE","70","43","6"
"5.920328","46.73529","G","1 bis Avenue Jean JaurÃ¨s 39300 CHAMPAGNOLE","39300","CHAMPAGNOLE","39","43","6"
"6.73011","47.489121","G","1 Route de PrÃ©sentevillers 25550 BAVANS","25550","BAVANS","25","43","8"
"6.80075","47.536636","G","1 Rue du Groupe Doubs-Lizaine 25200 BETHONCOURT","25200","BETHONCOURT","25","43","8"
"3.519515","47.964306","G","18 Avenue Jean JaurÃ¨s 89400 MIGENNES","89400","MIGENNES","89","26","7"
"3.403233","47.982005","G","10 Rue du Maillet-d'Or 89300 JOIGNY","89300","JOIGNY","89","26","7"
"3.561965","47.802444","G","33 Rue des Migraines 89000 AUXERRE","89000","AUXERRE","89","26","7"
"4.039724","46.274225","G","6 Rue de PrÃ©cy 71110 MARCIGNY","71110","MARCIGNY","71","26","8"
"3.987698","46.480091","G","13 Rue de Robinson 71160 DIGOIN","71160","DIGOIN","71","26","8"
"4.826854","46.302451","G","196 Rue des Cordiers 71000 MACON","71000","MACON","71","26","8"
"3.079835","47.012551","G","22 Rue du Pont 58600 FOURCHAMBAULT","58600","FOURCHAMBAULT","58","26","7"
"5.226347","47.236606","G","57 Avenue du GÃ©nÃ©ral de Gaulle 21110 GENLIS","21110","GENLIS","21","26","8"
"5.399147","47.201454","G","2 Rue de Flammerans 21130 AUXONNE","21130","AUXONNE","21","26","8"
"5.333889","47.85265","G","21 Avenue de Turenne 52200 LANGRES","52200","LANGRES","52","21","5"
"4.076908","48.299457","G","20 bis Quai Dampierre 10000 TROYES","10000","TROYES","10","21","7"
"4.362384","49.514371","G","15 Avenue du GÃ©nÃ©ral de Gaulle 08300 RETHEL","8300","RETHEL","08","21","6"
"3.690799","49.306595","G","21 Route de Reims 51170 FISMES","51170","FISMES","51","21","8"
"4.061431","49.251806","G","2A Rue Bertrand de Mun 51100 REIMS","51100","REIMS","51","21","8"
"6.985787","47.892297","G","3 Rue de la Gendarmerie 68470 FELLERING","68470","FELLERING","68","42","9"
"7.181858","47.808143","G","11 Avenue Albert Schweitzer 68700 CERNAY","68700","CERNAY","68","24","6"
"7.181858","47.808143","G","11 Avenue Albert Schweitzer 68700 CERNAY","68700","CERNAY","68","24","9"
"7.181858","47.808143","G","11 Avenue Albert Schweitzer 68700 CERNAY","68700","CERNAY","68","25","8"
"7.181858","47.808143","G","11 Avenue Albert Schweitzer 68700 CERNAY","68700","CERNAY","68","25","9"
"7.181858","47.808143","G","11 Avenue Albert Schweitzer 68700 CERNAY","68700","CERNAY","68","42","9"
"7.181858","47.808143","G","11 Avenue Albert Schweitzer 68700 CERNAY","68700","CERNAY","68","54","9"
"7.181858","47.808143","G","11 Avenue Albert Schweitzer 68700 CERNAY","68700","CERNAY","68","54","6"
"7.11463","47.80052","G","56 Avenue Gubbio 68800 THANN","68800","THANN","68","42","9"
"7.460544","47.648606","G","40 Rue Rogg Haas 68510 SIERENTZ","68510","SIERENTZ","68","42","9"
"7.356076","47.779265","G","1 Rue de l'Est 68110 ILLZACH","68110","ILLZACH","68","42","9"
"7.305906","47.961296","G","4 Rue de l'Europe 68250 ROUFFACH","68250","ROUFFACH","68","42","9"
"7.320945","48.192247","G","19 Rue du 3 DÃ©cembre 68150 RIBEAUVILLE","68150","RIBEAUVILLE","68","22","7"
"7.320945","48.192247","G","19 Rue du 3 DÃ©cembre 68150 RIBEAUVILLE","68150","RIBEAUVILLE","68","22","9"
"7.320945","48.192247","G","19 Rue du 3 DÃ©cembre 68150 RIBEAUVILLE","68150","RIBEAUVILLE","68","42","9"
"7.154318","48.040965","G","42 Rue de Colmar 68140 MUNSTER","68140","MUNSTER","68","41","11"
"7.154318","48.040965","G","42 Rue de Colmar 68140 MUNSTER","68140","MUNSTER","68","41","9"
"7.154318","48.040965","G","42 Rue de Colmar 68140 MUNSTER","68140","MUNSTER","68","42","9"
"7.950831","49.033996","G","Quartier Hoche 9 Rue Vauban 67160 WISSEMBOURG","67160","WISSEMBOURG","67","42","13"
"7.460029","48.408397","G","27 Rue du GÃ©nÃ©ral Vandenberg 67140 BARR","67140","BARR","67","42","13"
"7.669284","48.589381","G","1A Rue d'Oberhausbergen 67202 WOLFISHEIM","67202","WOLFISHEIM","67","42","13"
"7.830781","48.66454","G","12 Rue des Jonquilles 67610 LA WANTZENAU","67610","LA WANTZENAU","67","42","13"
"7.711346","48.736697","G","22 Rue AndrÃ© Malraux 67170 BRUMATH","67170","BRUMATH","67","42","13"
