Dpt	District	Nature des locaux	adresse	Tél	horaires	latitude	longitude
94	D2	Ciat	   Place Marcel Cachin 94205 IVRY-SUR-SEINE	01.49.59.33.00	24/24	48.7362886	2.4467379
94	D2	Ciat	162 rue de Paris  94190 VILLENEUVE-ST-GEORGES	01.45.10.13.50	24/24	48.747968	2.464891
94	D2	PCPP	36/38bis avenue du Colonel Fabien 94460 VALENTON	01.43.89.86.77	Le mardi	48.7309697	2.4243447
94	D2	BP	6 avenue de la République 94290 VILLENEUVE-LE-ROI	01.45.65.91.60	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.7774587	2.3310041
94	D3	Ciat	18 à 22 av Jules Gravereaux 94240 L'HAY-LES-ROSES	01.49.08.26.00	24/24	48.761801	2.3607
94	D3	BP	100 rue de la Tour 94150 RUNGIS	01.46.86.99.29	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	37.5457497	-85.6979828
94	D3	BP	 2 Place Nelson Mandela 94550 CHEVILLY-LA-RUE	01.41.80.06.60	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.7557551	2.3212963
94	D3	BP	12 rue Roger Salengro 94260 FRESNES	01.46.15.42.90	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.924838	2.245066
94	D3	Ciat Sub	78 avenue Victor Bach 94320 THIAIS	01.48.84.30.50	24/24		
94	D3	Ciat	163/167 bis rue Gabriel Péri 94270 LE-KREMLIN-BICETRE	01.45.15.69.00	24/24	48.7940088	2.3330256
94	D3	Ciat Sub	9 rue Marx Dormoy 94230 CACHAN	01.49.08.51.00	24/24	48.78341	2.3671111
94	D3	Ciat Sub	67 avenue de Stalingrad 94800 VILLEJUIF	01.45.13.32.11	24/24	49.1099387	6.1670941
94	D4	Ciat	3 avenue de Lattre de Tassigny  94130 NOGENT-SUR-MARNE	01.45.14.82.00	24/24	48.8372406	2.5187793
94	D4	PCPP	7 rue Paul Barillet  94360 BRY-SUR-MARNE	01.45.16.68.22	Lundi de 8h30 à 12h00  Mercredi de 14h00 à 17h30		
94	D4	PCPP	4 bis av du Président Wilson 94340 JOINVILLE-LE-PONT	01.48.85.75.75	Mercredi de 9h00 à 12h00 et samedi 8h30 à 11H00	48.8436288	2.5029483
94	D4	BP	145/147 av du Gal de Gaulle 94170 LE-PERREUX-SUR-MARNE	01.53.48.13.80	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.8069263	2.5505716
94	D4	Ciat	7/9 place Rodin 94500 CHAMPIGNY-SUR-MARNE	01.45.16.84.00	24/24	48.8241625	2.5101689
94	D4	BP	95 avenue de la République 94500 CHAMPIGNY-SUR-MARNE	01.48.82.51.20	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.7988502	2.5317907
94	D4	Ciat	8 rue du Général de Gaulle 94430 CHENNEVIERES-SUR-MARNE	01.48.82.51.20	24/24	27.7768993	-82.4036026
94	D4	BP	36 avenue Ardouin  94420 LE PLESSIS-TREVISSE	01.56.86.30.90	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.8300617	2.5396373
94	D4	BP	3 boulevard de Friedberg 94350 VILLIERS-SUR-MARNE	01.49.41.32.02	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.8491899	2.475813
94	D4	Ciat	26 rue Guérin Leroux 94120 FONTENAY-SOUS-BOIS	01.48.75.82.00	24/24	48.8465114	2.43825
94	D4	Ciat	23 rue Raymond du Temple 94300 VINCENNES	01.41.74.54.54.	24/24	48.8434902	2.4194062
94	D4	PCPP	4 avenue de Liège 94160 SAINT-MANDE	01.49.57.78.79	Lundi de 9h00 à 14h15 Mardi de 12h00 à 20h00 / Mercredi de 12H00 à 17h00 /Jeudi de 12h00 à 20h00 /Vendredi de 9h00 à 14h12		
