CODGEO	REG	DEP	ARR	LIBGEO	P10_POP
01314	82	01	012	Priay	1488
01316	82	01	011	Pugieu	168
01317	82	01	012	Ramasse	250
01318	82	01	012	Rancé	641
01319	82	01	012	Relevant	466
01320	82	01	012	Replonges	3500
01321	82	01	012	Revonnas	788
01322	82	01	012	Reyrieux	4093
01323	82	01	012	Reyssouze	929
01325	82	01	012	Rignieux-le-Franc	950
01328	82	01	012	Romans	587
01329	82	01	011	Rossillon	148
01330	82	01	011	Ruffieu	202
01331	82	01	014	Saint-Alban	163
01332	82	01	012	Saint-André-de-Bâgé	635
01333	82	01	012	Saint-André-de-Corcy	2991
01334	82	01	012	Saint-André-d'Huiriat	543
01335	82	01	012	Saint-André-le-Bouchoux	316
01336	82	01	012	Saint-André-sur-Vieux-Jonc	1079
01337	82	01	012	Saint-Bénigne	1161
01338	82	01	011	Saint-Benoît	773
01339	82	01	012	Saint-Bernard	1375
01340	82	01	011	Saint-Bois	123
01341	82	01	011	Saint-Champ	139
01342	82	01	012	Sainte-Croix	534
01343	82	01	012	Saint-Cyr-sur-Menthon	1636
01344	82	01	012	Saint-Denis-lès-Bourg	5405
01345	82	01	011	Saint-Denis-en-Bugey	2178
01346	82	01	012	Saint-Didier-d'Aussiat	863
01347	82	01	012	Saint-Didier-de-Formans	1792
01348	82	01	012	Saint-Didier-sur-Chalaronne	2776
01349	82	01	012	Saint-Éloi	399
01350	82	01	012	Saint-Étienne-du-Bois	2441
01351	82	01	012	Saint-Étienne-sur-Chalaronne	1468
01352	82	01	012	Saint-Étienne-sur-Reyssouze	531
01353	82	01	012	Sainte-Euphémie	1482
01354	82	01	013	Saint-Genis-Pouilly	8914
01355	82	01	012	Saint-Genis-sur-Menthon	408
01356	82	01	012	Saint-Georges-sur-Renon	197
01357	82	01	014	Saint-Germain-de-Joux	480
01358	82	01	011	Saint-Germain-les-Paroisses	387
01359	82	01	012	Saint-Germain-sur-Renon	236
01360	82	01	013	Saint-Jean-de-Gonville	1496
01361	82	01	012	Saint-Jean-de-Niost	1421
01362	82	01	012	Saint-Jean-de-Thurigneux	710
01363	82	01	014	Saint-Jean-le-Vieux	1609
01364	82	01	012	Saint-Jean-sur-Reyssouze	744
01365	82	01	012	Saint-Jean-sur-Veyle	1082
01366	82	01	011	Sainte-Julie	889
01367	82	01	012	Saint-Julien-sur-Reyssouze	668
01368	82	01	012	Saint-Julien-sur-Veyle	715
01369	82	01	012	Saint-Just	881
01370	82	01	012	Saint-Laurent-sur-Saône	1749
01371	82	01	012	Saint-Marcel	1212
01372	82	01	011	Saint-Martin-de-Bavel	443
01373	82	01	014	Saint-Martin-du-Frêne	1077
01374	82	01	012	Saint-Martin-du-Mont	1651
01375	82	01	012	Saint-Martin-le-Châtel	790
01376	82	01	012	Saint-Maurice-de-Beynost	3865
01378	82	01	012	Saint-Maurice-de-Gourdans	2498
01379	82	01	011	Saint-Maurice-de-Rémens	709
01380	82	01	012	Saint-Nizier-le-Bouchoux	703
01381	82	01	012	Saint-Nizier-le-Désert	880
01382	82	01	012	Sainte-Olive	303
01383	82	01	012	Saint-Paul-de-Varax	1551
01384	82	01	011	Saint-Rambert-en-Bugey	2164
01385	82	01	012	Saint-Rémy	906
01386	82	01	011	Saint-Sorlin-en-Bugey	1061
01387	82	01	012	Saint-Sulpice	142
01388	82	01	012	Saint-Trivier-de-Courtes	1013
01389	82	01	012	Saint-Trivier-sur-Moignans	1877
01390	82	01	011	Saint-Vulbas	957
01391	82	01	012	Salavre	284
01392	82	01	014	Samognat	718
01393	82	01	012	Sandrans	524
01396	82	01	011	Sault-Brénaz	1043
01397	82	01	013	Sauverny	1078
01398	82	01	012	Savigneux	1204
01399	82	01	013	Ségny	1649
01400	82	01	011	Seillonnaz	138
01401	82	01	013	Sergy	1977
01402	82	01	012	Sermoyer	669
01403	82	01	011	Serrières-de-Briord	1174
01404	82	01	014	Serrières-sur-Ain	119
01405	82	01	012	Servas	1184
01406	82	01	012	Servignat	160
01407	82	01	011	Seyssel	942
01408	82	01	012	Simandre-sur-Suran	650
01409	82	01	011	Songieu	130
01410	82	01	014	Sonthonnax-la-Montagne	320
01411	82	01	011	Souclin	261
01412	82	01	012	Sulignat	569
01413	82	01	014	Surjoux	78
01414	82	01	011	Sutrieu	235
01415	82	01	011	Talissieu	425
01416	82	01	011	Tenay	1120
01417	82	01	011	Thézillieu	324
01418	82	01	012	Thil	1070
01419	82	01	013	Thoiry	5205
01420	82	01	012	Thoissey	1540
01421	82	01	011	Torcieu	698
01422	82	01	012	Tossiat	1406
01423	82	01	012	Toussieux	769
01424	82	01	012	Tramoyes	1674
01425	82	01	012	La Tranclière	301
01426	82	01	012	Treffort-Cuisiat	2204
01427	82	01	012	Trévoux	6730
01428	82	01	012	Valeins	88
01429	82	01	012	Vandeins	619
01430	82	01	012	Varambon	521
01431	82	01	011	Vaux-en-Bugey	1169
01432	82	01	012	Verjon	250
01433	82	01	012	Vernoux	285
01434	82	01	012	Versailleux	332
01435	82	01	013	Versonnex	2144
01436	82	01	013	Vesancy	526
01437	82	01	012	Vescours	208
01439	82	01	012	Vésines	91
01441	82	01	014	Vieu-d'Izenave	693
01442	82	01	011	Vieu	380
01443	82	01	012	Villars-les-Dombes	4399
01444	82	01	011	Villebois	1153
01445	82	01	012	Villemotier	632
01446	82	01	012	Villeneuve	1383
01447	82	01	012	Villereversure	1208
01448	82	01	014	Villes	385
01449	82	01	012	Villette-sur-Ain	673
01450	82	01	012	Villieu-Loyes-Mollon	3095
01451	82	01	012	Viriat	6006
01452	82	01	011	Virieu-le-Grand	1156
01453	82	01	011	Virieu-le-Petit	309
01454	82	01	011	Virignin	855
01456	82	01	011	Vongnes	74
01457	82	01	012	Vonnas	2790
02001	22	02	022	Abbécourt	528
02002	22	02	022	Achery	587
02003	22	02	024	Acy	959
02004	22	02	022	Agnicourt-et-Séchelles	207
02005	22	02	022	Aguilcourt	349
02006	22	02	025	Aisonville-et-Bernoville	288
02007	22	02	022	Aizelles	112
02008	22	02	024	Aizy-Jouy	287
02009	22	02	023	Alaincourt	503
02010	22	02	024	Allemant	180
02011	22	02	024	Ambleny	1134
02012	22	02	024	Ambrief	63
02013	22	02	022	Amifontaine	418
02014	22	02	022	Amigny-Rouy	731
02015	22	02	024	Ancienville	73
02016	22	02	022	Andelain	186
02017	22	02	022	Anguilcourt-le-Sart	292
02018	22	02	022	Anizy-le-Château	1895
02019	22	02	023	Annois	383
02020	22	02	025	Any-Martin-Rieux	476
02021	22	02	022	Archon	87
02022	22	02	024	Arcy-Sainte-Restitue	427
02023	22	02	021	Armentières-sur-Ourcq	98
02024	22	02	022	Arrancy	50
02025	22	02	023	Artemps	359
02026	22	02	021	Artonges	184
02027	22	02	022	Assis-sur-Serre	275
02028	22	02	022	Athies-sous-Laon	2515
02029	22	02	023	Attilly	384
02030	22	02	023	Aubencheul-aux-Bois	310
02031	22	02	025	Aubenton	713
02032	22	02	023	Aubigny-aux-Kaisnes	242
02033	22	02	022	Aubigny-en-Laonnois	116
02034	22	02	022	Audignicourt	102
02035	22	02	025	Audigny	265
02036	22	02	024	Augy	90
02037	22	02	022	Aulnois-sous-Laon	1292
02038	22	02	022	Les Autels	74
02039	22	02	022	Autremencourt	185
02040	22	02	025	Autreppes	187
02041	22	02	022	Autreville	822
02042	22	02	021	Azy-sur-Marne	387
